,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
58,Gymnospermae,Cycadopsida,Bennettiales,Athyriaceae,Athyrium,Athyrium hulunianum,117.669,49.51,-145.0,-100.0,118.82,51.21
59,Gymnospermae,Cycadopsida,Cycadales,Athyriaceae,Athyrium,Athyrium hailaerianum,119.735,49.213,-145.0,-100.0,121.0,51.05
60,Gymnospermae,Cycadopsida,Bennettiales,Athyriaceae,Athyrium,Athyrium neimongianum,119.59200000000001,45.428999999999995,-145.0,-100.0,121.45,47.28
61,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera cf.minima,114.881,40.823,-145.0,-100.0,116.78,41.84
62,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera cf.minima,116.194,39.97,-145.0,-100.0,118.2,41.07
63,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera cf.phillipsi,105.544,33.686,-145.0,-100.0,108.08,31.5
64,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera furcata,109.93799999999999,33.861,-145.0,-100.0,112.01,33.04
65,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera furcata,111.758,40.815,-145.0,-100.0,113.63,41.64
66,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera furcata,117.662,49.508,-145.0,-100.0,118.81,51.2
67,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera furcata,119.771,48.53,-145.0,-100.0,121.15,50.38
68,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera furcata,119.586,45.427,-145.0,-100.0,121.44,47.28
69,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera furcata,120.573,49.24,-145.0,-100.0,121.86,51.14
70,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera cf.gracilis,121.664,42.019,-145.0,-100.0,123.54,43.44
71,Gymnospermae,Coniferopsida,O,F,Baiera,Baiera concinna,124.104,42.783,-145.0,-100.0,125.95,44.35
72,Gymnospermae,Cycadopsida,Cycadales,F,Baiera,Baiera gracilis,118.587,41.195,-145.0,-100.0,120.5,42.44
73,Gymnospermae,Cycadopsida,Cycadales,F,Baiera,Baiera gracilis,121.61200000000001,41.97,-145.0,-100.0,123.5,43.39
74,Gymnospermae,Cycadopsida,Cycadales,F,Baiera,Baiera gracilis,125.499,44.288999999999994,-145.0,-100.0,127.71,46.54
75,Gymnospermae,Cycadopsida,Bennettiales,F,Baiera,Baiera kidoi,125.9,44.156000000000006,-145.0,-100.0,128.14,46.44
76,Gymnospermae,Cycadopsida,Bennettiales,F,Baiera,Baiera lingxiensis,131.1,46.596000000000004,-145.0,-100.0,133.23,49.2
77,Gymnospermae,Cycadopsida,O,F,Baiera,Baiera minima,121.65,42.011,-145.0,-100.0,123.53,43.43
78,Gymnospermae,Cycadopsida,O,F,Baiera,Baiera minima,124.141,42.842,-145.0,-100.0,125.99,44.41
79,Gymnospermae,Cycadopsida,O,F,Baiera,Baiera minima,125.137,42.885,-145.0,-100.0,127.0,44.51
80,Gymnospermae,Pteridospermopsida,O,F,Baiera,Baiera manchurica,121.61200000000001,41.97,-145.0,-100.0,123.5,43.39
81,Gymnospermae,Pteridospermopsida,O,F,Baiera,Baiera manchuriensis,123.536,42.445,-145.0,-100.0,125.41,43.98
82,Gymnospermae,Pteridospermopsida,O,F,Baiera,Baiera manchurica,124.141,42.842,-145.0,-100.0,125.99,44.41
83,Gymnospermae,Pteridospermopsida,O,F,Baiera,Baiera manchurica,125.14200000000001,42.924,-145.0,-100.0,127.0,44.55
84,Gymnospermae,Pteridospermopsida,O,F,Baiera,Baiera manchurica,125.902,44.14,-145.0,-100.0,128.14,46.42
85,Gymnospermae,Pteridospermopsida,O,F,Baiera,Baiera manchurica,124.56200000000001,44.018,-145.0,-100.0,126.77,46.21
86,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,107.62200000000001,34.443000000000005,-145.0,-100.0,110.1,35.04
87,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera polymorpha,109.985,41.012,-145.0,-100.0,111.82,41.73
88,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,121.664,42.019,-145.0,-100.0,123.54,43.44
89,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,125.13799999999999,42.915,-145.0,-100.0,127.0,44.54
90,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,125.09100000000001,44.531000000000006,-145.0,-100.0,127.25,46.76
91,Gymnospermae,Cycadopsida,Bennettiales,Leguminosae,Bauhinia,Bauhinia gracilis,130.403,48.888999999999996,-145.0,-100.0,132.17,51.44
92,Gymnospermae,Coniferopsida,O,F,Brachyphyllum,Brachyphyllum cf.rhombimaniferum,114.74799999999999,30.004,-145.0,-100.0,118.17,31.0
93,Gymnospermae,Coniferopsida,O,F,Brachyphyllum,Brachyphyllum cf.obesum,118.986,27.185,-145.0,-100.0,123.38,29.73
94,Gymnospermae,Coniferopsida,O,F,Brachyphyllum,Brachyphyllum cf.obtusum,120.258,28.639,-145.0,-100.0,123.99,31.49
