,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
163,Pteridophyta,Filicopsida,O,F,Shanxicladus,Shanxicladus pastulosus,112.515,37.113,-247,-237,90.74,40.63
164,Gymnospermae,Cycadopsida,O,F,Sinoctenis,Sinoctenis pulcella,105.23100000000001,32.196,-247,-237,90.73,21.58
165,Gymnospermae,Cycadopsida,O,F,Sinozamites,Sinozamites magnus,123.68700000000001,41.282,-247,-237,103.08,43.53
166,Gymnospermae,Cycadopsida,O,F,Sinozamites,Sinozamites myrioneurus,123.68700000000001,41.282,-247,-237,103.08,43.53
167,Gymnospermae,C,Ginkgoales,F,Sphenobaiera,Sphenobaiera qiandianziense,123.68700000000001,41.282,-247,-237,103.08,43.53
168,Gymnospermae,C,Ginkgoales,F,Sphenobaiera,Sphenobaiera cf.crassinervis,111.005,40.04,-247,-237,89.68,43.68
169,Gymnospermae,C,Ginkgoales,F,Sphenobaiera,Sphenobaiera rugata,110.986,37.95,-247,-201,95.39,45.09
170,Pteridophyta,Filicopsida,O,F,Sphenopteris,Sphenopteris digitata,123.69200000000001,41.284,-247,-237,103.09,43.54
171,Pteridophyta,Filicopsida,O,F,Sphenopteris,Sphenopteris lobophylla,123.69200000000001,41.284,-247,-237,103.09,43.54
172,Gymnospermae,Ginkgopsida,Sphenobaierales,Sphenobaieracea,Stenorachis,Stenorachis lepida,109.01700000000001,35.23,-247,-237,86.78,39.12
173,Gymnospermae,Ginkgopsida,Sphenobaierales,Sphenobaieracea,Stenorachis,Stenorachis lepida,111.005,40.04,-247,-237,89.68,43.68
174,Gymnospermae,C,Coniferales,F,Swedenborgia,Swedenborgia linjiaensis,123.69200000000001,41.284,-247,-237,103.09,43.54
175,Pteridophyta,Filicopsida,O,Marattiaceae,Symopteris,Symopteris cf.densinervis,123.69200000000001,41.284,-247,-237,103.09,43.54
176,Pteridophyta,Filicopsida,O,Marattiaceae,Symopteris,Symopteris zeilleri,123.69200000000001,41.284,-247,-237,103.09,43.54
177,Pteridophyta,Sphenopsida,Equisetales,F,Taeniocladopsis,Taeniocladopsis rhizomoides,109.051,35.209,-247,-237,86.81,39.09
178,Gymnospermae,Cycadopsida,O,F,Taeniopteris,Taeniopteris abnormis,111.005,40.041,-247,-237,89.68,43.69
179,Gymnospermae,Cycadopsida,O,F,Taeniopteris,Taeniopteris longxianensis,106.93799999999999,34.806,-247,-237,84.54,38.9
180,Gymnospermae,Pteridospermopsida,O,F,Tersiella,Tersiella radczenkoi,82.925,41.708,-247,-237,72.78,41.71
181,Gymnospermae,Pteridospermopsida,O,F,Thinnfeldia,Thinnfeldia major,123.68700000000001,41.282,-247,-237,103.08,43.53
182,Gymnospermae,Pteridospermopsida,O,F,Thinnfeldia,Thinnfeldia nordenskioeldii,110.294,29.511,-247,-237,96.22,21.68
183,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,82.962,41.717,-247,-237,72.82,41.7
184,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,110.992,37.951,-247,-201,89.3,41.62
185,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites paralobifolius,111.12700000000001,38.461999999999996,-247,-201,89.53,42.11
186,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,111.01700000000001,40.048,-247,-237,89.7,43.69
187,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,112.32600000000001,39.024,-247,-237,90.88,42.54
188,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,109.086,34.945,-247,-201,92.45,42.47
189,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,109.22399999999999,36.383,-247,-201,93.0,43.86
190,Pteridophyta,Filicopsida,O,Osmundaceae,Todites,Todites shensiensis,110.7,38.643,-247,-201,95.29,45.82
