,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
78,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sternbergi,113.09700000000001,37.109,-251,-247,92.32,32.91
79,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sternbergi,112.96799999999999,37.071,-251,-247,92.18,32.9
80,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sternbergi,114.206,36.419000000000004,-251,-247,93.12,32.01
81,Pteridophyta,Lycopsida,O,Pleuromeiaceae,Pleuromeia,Pleuromeia sternbergi,112.596,35.067,-251,-247,91.22,31.05
82,Gymnospermae,Pteridospermopsida,O,F,Qionghaia,Qionghaia carnosa,110.493,19.122,-251,-247,104.85,3.58
83,Gymnospermae,Coniferopsida,O,F,Ruehleostachys,Ruehleostachys hongyantouensis,112.96799999999999,37.07,-251,-247,92.18,32.9
84,Pteridophyta,Sphenopsida,Equisetales,F,Schizoneura,Schizoneura gondwanensis,82.959,41.716,-251,-247,76.55,35.48
85,Pteridophyta,Sphenopsida,Equisetales,F,Schizoneura,Schizoneura megaphylla,113.054,36.961999999999996,-251,-247,92.23,32.78
86,Pteridophyta,Sphenopsida,Equisetales,Schizoneuraceae,Schizoneura-Echinostachys,Schizoneura-Echinostachys paradoxa,119.97200000000001,41.687,-251,-247,99.99,35.92
87,Gymnospermae,Pteridospermopsida,O,F,Scytophyllum,Scytophyllum cf.bergeri,112.17299999999999,34.516,-251,-247,90.66,30.61
88,Gymnospermae,C,O,F,Shenea,Shenea hirschmeieri,116.944,40.21,-251,-201,96.19,28.66
89,Gymnospermae,C,Ginkgoales,F,Sphenobaiera,Sphenobaiera spectabilis,119.14,31.646,-251,-247,102.76,18.18
90,Pteridophyta,Filicopsida,O,F,Sphenopteris,Sphenopteris delabens,113.061,36.961999999999996,-251,-247,92.24,32.78
